Features,Missing Ratio
PoolQC,99.69146383
MiscFeature,96.40041138
Alley,93.21220432
Fence,80.42509427
FireplaceQu,48.68015084
LotFrontage,7.781967775
GarageQual,5.450805622
GarageCond,5.450805622
GarageFinish,5.450805622
GarageYrBlt,5.450805622
GarageType,5.382242029
BsmtExposure,2.811107302
BsmtCond,2.811107302
BsmtQual,2.776825506
BsmtFinType2,2.742543709
BsmtFinType1,2.708261913
MasVnrType,0.822763113
MasVnrArea,0.788481316
MSZoning,0.137127185
BsmtFullBath,0.068563593
BsmtHalfBath,0.068563593
Utilities,0.068563593
Functional,0.068563593
Electrical,0.034281796
BsmtUnfSF,0.034281796
Exterior1st,0.034281796
Exterior2nd,0.034281796
TotalBsmtSF,0.034281796
GarageArea,0.034281796
GarageCars,0.034281796
BsmtFinSF2,0.034281796
BsmtFinSF1,0.034281796
KitchenQual,0.034281796
SaleType,0.034281796
